Date,Link,OptionText
2023-12-20 15:31:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:7143215646703595520,No
2023-11-02 14:11:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:7121744995224555520,🔄 ELT
2023-08-23 12:22:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:7099742278600065025,a) absolutely YES
2023-07-07 17:48:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7083058151545077760,ADD PARTITION
2023-06-23 14:09:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:7077882046269800448, Count me in! Gusto's real! 🤩
2023-05-29 13:39:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:7067082799685517312,Multi-tenancy
2023-05-07 12:56:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:7060891993777852416,val myVal: Int=1;
2022-12-27 12:12:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:7013357877587251200,AWS
2022-11-12 10:16:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6996805653063184384,Supply chain issues
2022-11-10 12:06:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6996429552419770370,Communication
2022-08-23 17:05:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6967793454340804609,💰 Growth opportunities
2022-02-03 08:43:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:6894916636650942464,Taxation is too high 
2021-12-27 10:42:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6879422193483214848,No
2021-11-27 15:55:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869822595240460288,0-2 Years
2021-11-18 12:07:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:6864701715959046144,Remote Work
2021-07-02 03:18:05,https://www.linkedin.com/feed/update/urn:li:groupPost:2231152-6816431829588025344,React 
2021-05-19 17:17:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:6800290100107345920,Yes
